Node1	Node2
EGF_HUMAN	EGFR_HUMAN
EGFR_HUMAN	CBL_HUMAN
EGFR_HUMAN	RN213_HUMAN
CBL_HUMAN	GRB2_HUMAN
CBL_HUMAN	PLCG1_HUMAN
CBL_HUMAN	MYH9_HUMAN
CBL_HUMAN	NCK1_HUMAN
GRB2_HUMAN	SOS1_HUMAN
SOS1_HUMAN	RASH_HUMAN
RASH_HUMAN	L7RRS6_HUMAN
L7RRS6_HUMAN	A4QPA9_HUMAN
L7RRS6_HUMAN	HS90A_HUMAN
L7RRS6_HUMAN	RB_HUMAN
A4QPA9_HUMAN	MK01_HUMAN
HS90A_HUMAN	TEBP_HUMAN
HS90A_HUMAN	MAGD2_HUMAN
PLCG1_HUMAN	EF1A1_HUMAN
RB_HUMAN	B7Z3D6_HUMAN
RB_HUMAN	HDAC1_HUMAN
RB_HUMAN	CCND1_HUMAN
B7Z3D6_HUMAN	CCNB1_HUMAN
CCNB1_HUMAN	CDC20_HUMAN
CCNB1_HUMAN	CDK2_HUMAN
CDC20_HUMAN	B4DL80_HUMAN
B4DL80_HUMAN	APC1_HUMAN
HDAC1_HUMAN	P53_HUMAN
HDAC1_HUMAN	SP1_HUMAN
P53_HUMAN	PSME3_HUMAN
P53_HUMAN	SUMO1_HUMAN
P53_HUMAN	EP300_HUMAN
P53_HUMAN	MDM2_HUMAN
SUMO1_HUMAN	UBC9_HUMAN
UBC9_HUMAN	SUMO2_HUMAN
SUMO2_HUMAN	NUMA1_HUMAN
NCK1_HUMAN	PKN2_HUMAN
CDK2_HUMAN	AMOT_HUMAN
EP300_HUMAN	G4XH65_HUMAN
EP300_HUMAN	B2R4R0_HUMAN
G4XH65_HUMAN	SRC_HUMAN
SRC_HUMAN	FIP1_HUMAN
SRC_HUMAN	FAK1_HUMAN
SRC_HUMAN	EMD_HUMAN
FAK1_HUMAN	ACTN1_HUMAN
ACTN1_HUMAN	PDLI1_HUMAN
EMD_HUMAN	HDGF_HUMAN
CCND1_HUMAN	CDK4_HUMAN
CDK4_HUMAN	CDN1B_HUMAN
CDN1B_HUMAN	CSN5_HUMAN
CSN5_HUMAN	CSN6_HUMAN
CSN5_HUMAN	SRP14_HUMAN
CSN6_HUMAN	RL15_HUMAN
MDM2_HUMAN	B0LPE5_HUMAN
MDM2_HUMAN	K7PPA8_HUMAN
MDM2_HUMAN	A2RUM7_HUMAN
MDM2_HUMAN	UB2D2_HUMAN
B0LPE5_HUMAN	MTOR_HUMAN
B0LPE5_HUMAN	GSK3B_HUMAN
MTOR_HUMAN	AKT1_HUMAN
AKT1_HUMAN	TBCD4_HUMAN
K7PPA8_HUMAN	MAP1B_HUMAN
A2RUM7_HUMAN	N0E4C7_HUMAN
N0E4C7_HUMAN	CSK21_HUMAN
CSK21_HUMAN	EF1B_HUMAN
CSK21_HUMAN	SMC3_HUMAN
CSK21_HUMAN	HAP28_HUMAN
CSK21_HUMAN	IKBA_HUMAN
SMC3_HUMAN	PDS5A_HUMAN
UB2D2_HUMAN	NEDD4_HUMAN
UB2D2_HUMAN	RBX1_HUMAN
NEDD4_HUMAN	SCAM3_HUMAN
NEDD4_HUMAN	UB2L3_HUMAN
RBX1_HUMAN	CUL1_HUMAN
CUL1_HUMAN	SPB1_HUMAN
CUL1_HUMAN	NEDD8_HUMAN
UB2L3_HUMAN	PRKN2_HUMAN
PRKN2_HUMAN	PSMD4_HUMAN
PSMD4_HUMAN	UBQL1_HUMAN
UBQL1_HUMAN	CSTFT_HUMAN
IKBA_HUMAN	NEMO_HUMAN
NEMO_HUMAN	ATM_HUMAN
ATM_HUMAN	RIF1_HUMAN
GSK3B_HUMAN	NFKB2_HUMAN
NFKB2_HUMAN	SC16A_HUMAN
SP1_HUMAN	FKB15_HUMAN
NEDD8_HUMAN	CUL5_HUMAN
CUL5_HUMAN	SCFD1_HUMAN
B2R4R0_HUMAN	KAT5_HUMAN
KAT5_HUMAN	A4_HUMAN
A4_HUMAN	AR6P6_HUMAN
